city,region
Aalborg,North Denmark Region
Frederikshavn,North Denmark Region
Hjørring,North Denmark Region
Nørresundby,North Denmark Region
Skagen,North Denmark Region
Thisted,North Denmark Region
Copenhagen,Capital Region of Denmark
Frederiksberg,Capital Region of Denmark
Gentofte,Capital Region of Denmark
Helsingør,Capital Region of Denmark
Hillerød,Capital Region of Denmark
Aarhus,Central Denmark Region
Herning,Central Denmark Region
Holstebro,Central Denmark Region
Horsens,Central Denmark Region
Randers,Central Denmark Region
Silkeborg,Central Denmark Region
Skive,Central Denmark Region
Viborg,Central Denmark Region
Aabenraa,Region of Southern Denmark
Esbjerg,Region of Southern Denmark
Fredericia,Region of Southern Denmark
Haderslev,Region of Southern Denmark
Kolding,Region of Southern Denmark
Nyborg,Region of Southern Denmark
Odense,Region of Southern Denmark
Ribe,Region of Southern Denmark
Sønderborg,Region of Southern Denmark
Svendborg,Region of Southern Denmark
Tønder,Region of Southern Denmark
Vejle,Region of Southern Denmark
Holbæk,Region Zealand
Kalundborg,Region Zealand
Køge,Region Zealand
Maribo,Region Zealand
Nakskov,Region Zealand
Nykøbing Falster,Region Zealand
Roskilde,Region Zealand
Slagelse,Region Zealand
Sorø,Region Zealand
Vordingborg,Region Zealand
